epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
1270,2,N2,100
1271,2,N2,100
1272,2,N2,100
1273,2,N2,100
1274,2,N2,100
1275,2,N2,100
1276,2,N2,100
1277,2,N2,100
1278,2,N2,100
1279,2,N2,100
1280,2,N2,100
1281,2,N2,100
1282,2,N2,100
1283,2,N2,100
1284,2,N2,100
1285,2,N2,100
1286,2,N2,100
1287,2,N2,100
1288,2,N2,100
1289,2,N2,100
1290,2,N2,100
1291,2,N2,100
1292,2,N2,100
1293,2,N2,100
1294,2,N2,100
1295,2,N2,100
1296,2,N2,100
1297,2,N2,100
1298,2,N2,100
1299,2,N2,100
1300,2,N2,100
1301,2,N2,100
1302,2,N2,100
1303,2,N2,100
1304,2,N2,100
1305,2,N2,100
1306,2,N2,100
1307,2,N2,100
1308,2,N2,100
1309,2,N2,100
1310,2,N2,100
1311,2,N2,100
1312,2,N2,100
1313,2,N2,100
1314,2,N2,100
1315,2,N2,100
1316,2,N2,100
1317,2,N2,100
1318,2,N2,100
1319,2,N2,100
1320,2,N2,100
1321,2,N2,100
1322,2,N2,100
1323,2,N2,100
1324,2,N2,100
1325,2,N2,100
1326,2,N2,100
1327,2,N2,100
1328,2,N2,100
1329,2,N2,100
1330,2,N2,100
1331,2,N2,100
1332,2,N2,100
1333,2,N2,100
1334,2,N2,100
1335,2,N2,100
1336,2,N2,100
1337,2,N2,100
1338,2,N2,100
1339,2,N2,100
1340,2,N2,100
1341,2,N2,100
1342,2,N2,100
1343,2,N2,100
1344,2,N2,100
1345,2,N2,100
1346,2,N2,100
1347,2,N2,100
1348,2,N2,100
1349,2,N2,100
1350,2,N2,100
1351,2,N2,100
1352,2,N2,100
1353,2,N2,100
1354,2,N2,100
1355,2,N2,100
1356,2,N2,100
1357,2,N2,100
1358,2,N2,100
1359,2,N2,100
1360,2,N2,100
1361,2,N2,100
1362,2,N2,100
1363,2,N2,100
1364,2,N2,100
1365,2,N2,100
1366,2,N2,100
1367,2,N2,100
1368,2,N2,100
1369,2,N2,100
1370,2,N2,100
1371,2,N2,100
1372,2,N2,100
1373,2,N2,100
1374,2,N2,100
1375,2,N2,100
1376,2,N2,100
1377,2,N2,100
1378,2,N2,100
1379,2,N2,100
1380,2,N2,100
1381,2,N2,100
1382,2,N2,100
1383,2,N2,100
1384,2,N2,100
1385,2,N2,100
1386,2,N2,100
1387,2,N2,100
1388,2,N2,100
1389,2,N2,100
1390,2,N2,100
1391,2,N2,100
1392,2,N2,100
1393,2,N2,100
1394,2,N2,100
1395,2,N2,100
1396,2,N2,100
1397,2,N2,100
1398,2,N2,100
1399,2,N2,100
1400,2,N2,100
1401,2,N2,100
1402,2,N2,100
1403,2,N2,100
1404,2,N2,100
1405,2,N2,100
1406,2,N2,100
1407,2,N2,100
1408,2,N2,100
1409,2,N2,100
1410,2,N2,100
1411,2,N2,100
1412,2,N2,100
1413,2,N2,100
1414,2,N2,100
1415,2,N2,100
1416,2,N2,100
1417,2,N2,100
1418,2,N2,100
1419,2,N2,100
1420,2,N2,100
1421,2,N2,100
1422,2,N2,100
1423,2,N2,100
1424,2,N2,100
1425,2,N2,100
1426,2,N2,100
1427,2,N2,100
1428,2,N2,100
1429,2,N2,100
1430,2,N2,100
1431,2,N2,100
1432,2,N2,100
1433,2,N2,100
1434,2,N2,100
1435,2,N2,100
1436,2,N2,100
1437,2,N2,100
1438,2,N2,100
1439,2,N2,100
1440,2,N2,100
1441,2,N2,100
1442,2,N2,100
1443,2,N2,100
1444,2,N2,100
1445,2,N2,100
1446,2,N2,100
1447,2,N2,100
1448,2,N2,100
1449,2,N2,100
1450,2,N2,100
1451,2,N2,100
1452,2,N2,100
1453,2,N2,100
1454,2,N2,100
1455,2,N2,100
1456,2,N2,100
1457,2,N2,100
1458,2,N2,100
1459,2,N2,100
1460,2,N2,100
1461,2,N2,100
1462,2,N2,100
1463,2,N2,100
1464,2,N2,100
